AUID,Last,First,Ethnea,Genni,PubCountry
16550892_1,_Buckthal_McCuin_,_Jill_,ENGLISH,F,USA
12373399_2,_Burel_Deschamps_,_Laure_,FRENCH,F,France
10639398_1,_Gonzalez_Burgos_,_Guillermo_,HISPANIC,M,USA
11042313_1,_Butler_Koster_,_Erin_,ENGLISH,F,USA
16439536_1,_Butterfield_Gerson_,_Kristin_,ENGLISH,F,USA
6811987_5,_Byers_,_Robert_,ENGLISH,M,USA
6763916_1,_Koury_Cabrera_,_Wafa_Hanna_,HISPANIC,F,Brazil
15095969_3,_Cacciola_,_Francesco_,ITALIAN,M,Italy
18320117_1,_de_Maria_Caceres_Manrique_,_Flor_,HISPANIC,F,Colombia
3665444_1,_Caglayan_,_Hande_,TURKISH,F,Turkey
4446965_1,_Ramon_Cajal_,_Santiago_,HISPANIC,M,Spain
9093797_2,_Durio_Calero_,_Enrique_,HISPANIC,M,Spain
3434600_2,_Calvo_,_Xavier_Calvet_,FRENCH,M,Spain
10770223_1,_Calvo_,_Rosa_,HISPANIC,F,Spain
19142942_3,_de_Camargo_,_Emerson_,HISPANIC,M,Brazil
16511637_3,_Camina_Tato_,_Montserrat_,HISPANIC,F,Spain
18078607_1,_de_Campos_,_Cristiane_,HISPANIC,F,Brazil
15095111_2,_Isik_Canpolat_,_Banu_,TURKISH,F,Turkey
14675324_1,_Cantu_de_Leon_,_David_,HISPANIC,M,Mexico
11340486_3,_Cantusio_Neto_,_Romeu_,HISPANIC,M,Brazil
830632_6,_Cantwell_,_Dan_,ENGLISH,M,USA
10331770_1,_de_Castro_Caparelli_,_Elisabeth_,HISPANIC,F,USA
11472364_8,_Carceller_Navarro_,_Soledad_,HISPANIC,F,France
15913293_1,_Cardenas_Ortega_,_Norma_,HISPANIC,F,Mexico
15679961_6,_Cardenuto_Perez_,_Marjo_Deninson_,HISPANIC,F,Brazil
14762499_3,_Cardoso_,_Vanessa_Eid_,HISPANIC,F,Brazil
3301133_1,_Carey_,_Christopher_,ENGLISH,M,USA
17521205_3,_Carmichael_Baranauskas_,_Anita_,ENGLISH,F,Canada
5696307_2,_Chinchilla_Carmona_,_Misael_,HISPANIC,M,CostaRica
12387629_3,_Carriao_Machado_Garcia_,_Camila_,HISPANIC,F,Brazil
10978241_3,_Catalan_Sanz_,_Paz_,HISPANIC,-,Spain
10499872_1,_Catrina_,_Sergiu_Bogdan_,ROMANIAN,M,Sweden
6543496_5,_Saverio_Leonardi_Cattolica_,_Francesco_,ITALIAN,M,Italy
11149532_1,_Wolanske_,_Kristen_Cea_,ENGLISH,F,USA
17785226_4,_Savas_Celebi_,_Aksuyek_Savas_,TURKISH,M,Turkey
11860655_2,_Gocer_,_Celil_,TURKISH,M,Turkey
9895172_3,_Cen_,_Hang_hui_,CHINESE,-,China
10437071_1,_Cen_,_Ying_,CHINESE,-,China
6335469_1,_Cendrowska_Demkow_,_Iwona_,SLAV,F,Poland
11528241_2,_Cengiz_,_Nilgun_,TURKISH,F,Turkey
3453336_3,_Cerqueira_Leite_,_Romario_,HISPANIC,-,Brazil
10579162_1,_Won_Chae_,_Sung_Won_,KOREAN,M,Korea
9414303_4,_Costedoat_Chalumeau_,_Nathalie_,FRENCH,F,France
11993889_1,_Chambliss_,_Kevin_,ENGLISH,M,USA
9156128_4,_Mun_Chan_,_Ho_,KOREAN,-,HongKong
1845094_2,_Chana_,_Pedro_,HISPANIC,M,Chile
18565328_4,_Chandra_,_Viswanathan_,INDIAN,-,India
12901516_1,_Tian_,_Chang_Fu_,CHINESE,M,China
7333159_1,_Yu_Pan_,_Chang_Yu_,CHINESE,M,China
12317923_4,_Lou_,_Chaohua_,CHINESE,-,China
11925630_3,_Hui_Yu_,_Chao_,CHINESE,-,China
6128639_3,_Prieto_Chaparro_,_Luis_,HISPANIC,M,Spain
2745456_2,_de_la_Brousse_,_Charles_,FRENCH,M,USA
17009406_2,_Chatopadhyay_,_Tusharkant_,INDIAN,-,India
6192557_2,_Kumar_Chaturvedi_,_Pranav_,INDIAN,M,India
11022402_4,_Chavez_,_Rosa_,HISPANIC,F,Chile
8623286_4,_Pino_Chavez_,_Gilda_,HISPANIC,F,UK
2973543_5,_Checa_,_Maria_Dolores_,HISPANIC,F,Spain
8109176_3,_Chen_Ong_,_Wei_,CHINESE,-,USA
12558546_1,_See_Chen_,_Po_See_,CHINESE,F,Taiwan
3622140_1,_Chen_,_Zhong_Xian_,CHINESE,M,China
3285294_4,_Ching_Cheng_,_Ngan_,CHINESE,-,Netherlands
7986393_1,_Lee_,_Min_Cheol_,KOREAN,M,Korea
